soggetto;data_ora_scatto;perimetro_px;perimetro_mm;area_pixel;area_mm;lato_pixel
D_R6;2021-09-07 21-26-51;25947;2285.153;419475;650.717;56.773
D_R6;2021-09-08 22-13-35;34415;3144.243;524307;875.291;54.727
D_R6;2021-09-10 10-46-30;44183;3772.005;630048;918.412;58.567
E_R1;2021-09-01 23-09-08;424;37.48;6038;9.436;56.564
E_R1;2021-09-03 04-34-29;824;72.422;15431;23.84;56.889
E_R1;2021-09-03 20-09-26;1169;101.948;23155;35.221;57.333
E_R1;2021-09-05 23-50-59;8161;708.912;123444;186.294;57.56
E_R1;2021-09-07 03-49-12;25154;2205.524;384059;590.524;57.025
E_R1;2021-09-07 23-37-35;25490;2226.629;387189;590.893;57.239
E_R1;2021-09-08 22-42-38;29858;2631.727;478972;744.219;56.727
E_R1;2021-09-10 11-33-11;13222;1129.564;190480;278.04;58.527
E_R2;2021-09-01 23-02-03;308;27.589;5602;8.989;55.82
E_R2;2021-09-03 04-41-26;821;72.067;15316;23.603;56.961
E_R2;2021-09-03 20-10-45;1448;127.92;26183;40.868;56.598
E_R2;2021-09-05 23-56-56;9384;830.369;150204;235.222;56.505
E_R2;2021-09-07 03-50-36;22833;2030.25;353312;558.678;56.232
E_R2;2021-09-07 23-31-56;29760;2628.697;450372;702.775;56.606
E_R2;2021-09-08 22-46-50;26579;2370.585;396498;630.819;56.06
E_R2;2021-09-10 11-27-54;24872;2140.448;331998;491.76;58.1
E_R3;2021-09-01 22-28-04;2620;232.204;61765;97.03;56.416
E_R3;2021-09-03 05-05-42;1072;92.735;19316;28.91;57.799
E_R3;2021-09-03 20-27-00;1932;168.843;33425;51.057;57.213
E_R3;2021-09-06 01-47-46;14617;1279.522;219988;337.138;57.119
E_R3;2021-09-07 04-09-03;27966;2468.619;429832;669.848;56.643
E_R3;2021-09-07 23-10-34;28221;2468.986;402362;615.941;57.151
E_R3;2021-09-08 23-04-20;25219;2232.995;354682;556.146;56.469
E_R3;2021-09-10 11-09-01;34262;2918.2;463299;672.196;58.704
E_R4;2021-09-03 19-17-48;636;55.761;7750;11.915;57.029
E_R4;2021-09-05 22-00-17;4922;432.209;75857;116.985;56.94
E_R4;2021-09-07 02-36-31;11223;991.361;190569;297.391;56.604
E_R4;2021-09-07 20-34-35;15441;1364.383;260816;407.274;56.586
